               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.034084,            0.038638,            0.016351,             0.27138,              0.4167,             0.31026,             0.19017,            0.045186,            0.032394,            0.061003,            0.002329,            0.002329,            0.002329
                  89,            0.034101,            0.038853,            0.015463,              0.3108,             0.34874,             0.30193,             0.18586,            0.043681,            0.031069,            0.062372,           0.0022809,           0.0022809,           0.0022809
                  90,            0.033374,            0.038562,            0.015325,              0.2744,             0.36825,             0.30065,             0.18973,            0.044302,            0.032081,            0.065679,           0.0022365,           0.0022365,           0.0022365
                  91,             0.03288,            0.038348,            0.015162,             0.29413,              0.3685,             0.30764,             0.19279,            0.044122,            0.032725,            0.066196,           0.0021958,           0.0021958,           0.0021958
                  92,            0.033373,            0.038799,            0.014965,             0.25885,             0.43613,             0.30542,             0.19496,            0.044506,            0.032158,            0.060664,           0.0021588,           0.0021588,           0.0021588
                  93,            0.032931,            0.038329,            0.014375,             0.29958,             0.35775,             0.30673,             0.19512,            0.044741,            0.031211,            0.062031,           0.0021257,           0.0021257,           0.0021257
                  94,            0.032967,            0.037261,            0.014713,             0.36863,             0.33102,             0.32278,             0.19972,            0.044036,            0.031494,            0.066746,           0.0020963,           0.0020963,           0.0020963
                  95,            0.033073,             0.03926,            0.014176,             0.28988,             0.36821,             0.30783,             0.19508,             0.04455,            0.032836,            0.060732,           0.0020709,           0.0020709,           0.0020709
                  96,            0.032593,            0.037633,            0.014071,             0.39015,             0.27388,             0.29772,             0.18376,            0.044417,            0.032198,             0.06387,           0.0020492,           0.0020492,           0.0020492
                  97,            0.032632,            0.036976,            0.014368,             0.32048,             0.35409,             0.30325,              0.1842,            0.044294,            0.033017,            0.066497,           0.0020315,           0.0020315,           0.0020315
                  98,            0.032503,            0.036242,            0.015062,             0.32551,              0.3875,             0.31807,             0.20185,            0.045293,            0.032083,            0.063975,           0.0020178,           0.0020178,           0.0020178
                  99,             0.03256,            0.037979,            0.014042,             0.30726,              0.3421,             0.29444,             0.19042,             0.04472,            0.033453,            0.063892,           0.0020079,           0.0020079,           0.0020079
